question,sentence,answer
how many spanish speaking people are there in the us,"According to the 2010 American Community Survey conducted by the U.S. Census Bureau , Spanish is the primary language spoken at home by almost 37 million people aged five or older, a figure more than double that of 1990.","According to the 2010 American Community Survey conducted by the U.S. Census Bureau , Spanish is the primary language spoken at home by almost 37 million people aged five or older, a figure more than double that of 1990"
what does (sic) mean?,"is a Latin word that means ""thus"" or, in writing, ""it was thus in the source material"".","thus"" or, in writing, ""it was thus in the source material"""
what does (sic) mean?,"is a Latin word that means ""thus"" or, in writing, ""it was thus in the source material"".","a Latin word that means ""thus"" or, in writing, ""it was thus in the source material"""
how does sedimentary rock form,Sedimentary rocks are types of rock that are formed by the deposition of material at the Earth 's surface and within bodies of water.,by the deposition of material at the Earth 's surface and within bodies of water
how does sedimentary rock form,Sedimentary rocks are types of rock that are formed by the deposition of material at the Earth 's surface and within bodies of water.,formed by the deposition of material at the Earth 's surface and within bodies of water
how many bones are in the skeletal system is composed of 306 bones,"Humans are born with over 270 bones, some of which fuse together into a longitudinal axis, the axial skeleton , to which the appendicular skeleton is attached.",over 270
how many bones are in the skeletal system is composed of 306 bones,"Humans are born with over 270 bones, some of which fuse together into a longitudinal axis, the axial skeleton , to which the appendicular skeleton is attached.","Humans are born with over 270 bones, some of which fuse together into a longitudinal axis, the axial skeleton , to which the appendicular skeleton is attached"
what did st.patrick do,"He is generally credited with being the first bishop of Armagh , Primate of All Ireland .","the first bishop of Armagh , Primate of All Ireland"
what did st.patrick do,"He is generally credited with being the first bishop of Armagh , Primate of All Ireland .",credited with being the first bishop of Armagh
how do you know if something is the golden ratio,"In mathematics and the arts , two quantities are in the golden ratio if the ratio of the sum of the quantities to the larger quantity is equal to the ratio of the larger quantity to the smaller one.",two quantities are in the golden ratio if the ratio of the sum of the quantities to the larger quantity is equal to the ratio of the larger quantity to the smaller one
how do you know if something is the golden ratio,"In mathematics and the arts , two quantities are in the golden ratio if the ratio of the sum of the quantities to the larger quantity is equal to the ratio of the larger quantity to the smaller one.",two quantities are in the golden ratio if the ratio of the sum of the quantities to the larger quantity is equal to the ratio of the larger quantity to the smaller one
What county is NOrth Myrtle Beach in SC,"North Myrtle Beach is a coastal resort city in Horry County , South Carolina , United States .",Horry County
What county is NOrth Myrtle Beach in SC,"North Myrtle Beach is a coastal resort city in Horry County , South Carolina , United States .",Horry County
How is a computer used?,A computer is a general purpose device that can be programmed to carry out a finite set of arithmetic or logical operations.,A computer is a general purpose device that can be programmed to carry out a finite set of arithmetic or logical operations
what does barefoot and pregnant mean,Barefoot and pregnant is a phrase most commonly associated with the controversial idea that women should not work outside the home and should have many children during their reproductive years.,women should not work outside the home and should have many children during their reproductive years
what does barefoot and pregnant mean,Barefoot and pregnant is a phrase most commonly associated with the controversial idea that women should not work outside the home and should have many children during their reproductive years.,"Barefoot and pregnant"" is a phrase most commonly associated with the controversial idea that women should not work outside the home and should have many children during their reproductive years"
"what county is oakhurst, nj in","Oakhurst is a census-designated place and unincorporated community within Ocean Township , in Monmouth County , New Jersey , United States.",Monmouth County
"what county is oakhurst, nj in","Oakhurst is a census-designated place and unincorporated community within Ocean Township , in Monmouth County , New Jersey , United States.",Monmouth County
What did Lawrence Joshua Chamberlain do?,"Joshua Lawrence Chamberlain (September 8, 1828 – February 24, 1914), born as Lawrence Joshua Chamberlain, was an American college professor from the State of Maine , who volunteered during the American Civil War to join the Union Army .","was an American college professor from the State of Maine , who volunteered during the American Civil War to join the Union Army"
What did Lawrence Joshua Chamberlain do?,"Joshua Lawrence Chamberlain (September 8, 1828 – February 24, 1914), born as Lawrence Joshua Chamberlain, was an American college professor from the State of Maine , who volunteered during the American Civil War to join the Union Army .","American college professor from the State of Maine , who volunteered during the American Civil War to join the Union Army"
what causes a deficiency in adenosine deaminase,"Adenosine deaminase deficiency, also called ADA deficiency or ADA-SCID, is an autosomal recessive metabolic disorder that causes immunodeficiency .",an autosomal recessive metabolic disorder that causes immunodeficiency
how is human height measured,"Human height is the distance from the bottom of the feet to the top of the head in a human body , standing erect.",from the bottom of the feet to the top of the head
how is human height measured,"Human height is the distance from the bottom of the feet to the top of the head in a human body , standing erect.","Human height is the distance from the bottom of the feet to the top of the head in a human body , standing erect"
what does a timing belt do,"Timing belt (camshaft) , a toothed belt used to drive the camshaft(s) within an internal combustion engine",a toothed belt used to drive the camshaft(s) within an internal combustion engine
what does a timing belt do,"Timing belt (camshaft) , a toothed belt used to drive the camshaft(s) within an internal combustion engine",a toothed belt used to drive the camshaft(s) within an internal combustion engine
what countries legalize marijuana,"Furthermore, possession is legal or effectively legal in the Netherlands , North Korea and would be in the U.S. states of Colorado and Washington if it were not for federal law, which governs persons in all states.","Netherlands , North Korea and would be in the U.S. states of Colorado and Washington"
what countries legalize marijuana,"Furthermore, possession is legal or effectively legal in the Netherlands , North Korea and would be in the U.S. states of Colorado and Washington if it were not for federal law, which governs persons in all states.","Netherlands , North Korea"
how many albums has dmx sold to this date,"DMX has sold over 30 million records worldwide, making him one of the best-selling hip-hop artists of all time.",over 30 million
how many albums has dmx sold to this date,"DMX has sold over 30 million records worldwide, making him one of the best-selling hip-hop artists of all time.",30 million records worldwide
what do mucous membranes secrete,"The sticky, thick fluid secreted by the mucous membranes and glands is termed mucus .",mucus
what do mucous membranes secrete,"The sticky, thick fluid secreted by the mucous membranes and glands is termed mucus .",mucus
what county is Cambria WI in,"Cambria is a village in Columbia County , Wisconsin , United States .",Columbia County
what county is Cambria WI in,"Cambria is a village in Columbia County , Wisconsin , United States .",Columbia County
how is public policy created,Public policy is the principled guide to action taken by the administrative executive branches of the state with regard to a class of issues in a manner consistent with law and institutional customs .,Public policy is the principled guide to action taken by the administrative executive branches of the state with regard to a class of issues in a manner consistent with law and institutional customs
how is public policy created,Public policy is the principled guide to action taken by the administrative executive branches of the state with regard to a class of issues in a manner consistent with law and institutional customs .,Public policy is the principled guide to action taken by the administrative executive branches of the state with regard to a class of issues in a manner consistent with law and institutional customs
how many wives did henry the 8th have,"Besides his six marriages, Henry VIII is known for his role in the separation of the Church of England from the Roman Catholic Church.",six
how many wives did henry the 8th have,"Besides his six marriages, Henry VIII is known for his role in the separation of the Church of England from the Roman Catholic Church.",six
what country are bongo drums from?,Bongos (Spanish: bongó) are an Afro-Cuban percussion instrument .,Afro-Cuban
what country are bongo drums from?,Bongos (Spanish: bongó) are an Afro-Cuban percussion instrument .,Bongos (Spanish: bongó) are an Afro-Cuban percussion instrument
how many books in bible,Christian Bibles range from the sixty-six books of the Protestant canon to the eighty-one books of the Ethiopian Orthodox Tewahedo Church canon.,sixty-six books of the Protestant canon to the eighty-one books of the Ethiopian Orthodox Tewahedo Church canon
how many books in bible,Christian Bibles range from the sixty-six books of the Protestant canon to the eighty-one books of the Ethiopian Orthodox Tewahedo Church canon.,Christian Bibles range from the sixty-six books of the Protestant canon to the eighty-one books of the Ethiopian Orthodox Tewahedo Church canon
HOW MANY STRIPES ARE ON THE AMERICAN FLAG,"The national flag of the United States of America , often simply referred to as the American flag, consists of thirteen equal horizontal stripes of red (top and bottom) alternating with white, with a blue rectangle in the canton (referred to specifically as the ""union"") bearing fifty small, white, five-pointed stars arranged in nine offset horizontal rows of six stars (top and bottom) alternating with rows of five stars.",thirteen
HOW MANY STRIPES ARE ON THE AMERICAN FLAG,"The national flag of the United States of America , often simply referred to as the American flag, consists of thirteen equal horizontal stripes of red (top and bottom) alternating with white, with a blue rectangle in the canton (referred to specifically as the ""union"") bearing fifty small, white, five-pointed stars arranged in nine offset horizontal rows of six stars (top and bottom) alternating with rows of five stars.",thirteen
HOW MANY STRIPES ARE ON THE AMERICAN FLAG,The 50 stars on the flag represent the 50 states of the United States of America and the 13 stripes represent the thirteen British colonies that declared independence from the Kingdom of Great Britain and became the first states in the Union.,13
HOW MANY STRIPES ARE ON THE AMERICAN FLAG,The 50 stars on the flag represent the 50 states of the United States of America and the 13 stripes represent the thirteen British colonies that declared independence from the Kingdom of Great Britain and became the first states in the Union.,13 stripes
what do biologists do,A biologist is a scientist who studies living organisms and their relationship to their environment.,a scientist who studies living organisms and their relationship to their environment
what do biologists do,A biologist is a scientist who studies living organisms and their relationship to their environment.,studies living organisms and their relationship to their environment
what does base jumping stand for,"BASE jumping, also sometimes written as B.A.S.E. jumping, is an activity where participants jump from fixed objects and use a parachute to break their fall.",an activity where participants jump from fixed objects and use a parachute to break their fall
what does base jumping stand for,"BASE jumping, also sometimes written as B.A.S.E. jumping, is an activity where participants jump from fixed objects and use a parachute to break their fall.",activity where participants jump from fixed objects and use a parachute to break their fall
what does base jumping stand for,"BASE is an acronym that stands for four categories of fixed objects from which one can jump: buildings , antennas , spans ( bridges ), and earth ( cliffs ).","four categories of fixed objects from which one can jump: buildings , antennas , spans ( bridges ), and earth ( cliffs )"
what does base jumping stand for,"BASE is an acronym that stands for four categories of fixed objects from which one can jump: buildings , antennas , spans ( bridges ), and earth ( cliffs ).","BASE"" is an acronym that stands for four categories of fixed objects from which one can jump: buildings , antennas , spans ( bridges ), and earth ( cliffs )"
What country is the largest stalagmite,"The largest stalagmite in the world is high and is located in the cave of Cueva Martin Infierno, Cuba.",Cuba
What country is the largest stalagmite,"The largest stalagmite in the world is high and is located in the cave of Cueva Martin Infierno, Cuba.",Cuba
what does Gringo mean,"Gringo (, , ) is a slang Spanish and Portuguese word used in Ibero-America , to denote foreigners, often from the United States .","a slang Spanish and Portuguese word used in Ibero-America , to denote foreigners, often from the United States"
what does Gringo mean,"Gringo (, , ) is a slang Spanish and Portuguese word used in Ibero-America , to denote foreigners, often from the United States .","slang Spanish and Portuguese word used in Ibero-America , to denote foreigners, often from the United States"
what does Gringo mean,"The term can be applied to someone who is actually a foreigner, or it can denote a strong association or assimilation into foreign (particularly US) society and culture.","to someone who is actually a foreigner, or it can denote a strong association or assimilation into foreign (particularly US) society and culture"
what does Gringo mean,"The term can be applied to someone who is actually a foreigner, or it can denote a strong association or assimilation into foreign (particularly US) society and culture.","The term can be applied to someone who is actually a foreigner, or it can denote a strong association or assimilation into foreign (particularly US) society and culture"
what does freedom of speech cover,Freedom of speech is the political right to communicate one's opinions and ideas using one's body and property to anyone who is willing to receive them.,the political right to communicate one's opinions and ideas using one's body and property to anyone who is willing to receive them
what does freedom of speech cover,Freedom of speech is the political right to communicate one's opinions and ideas using one's body and property to anyone who is willing to receive them.,the political right to communicate one's opinions and ideas using one's body and property to anyone who is willing to receive them
what does automatic paper feeder on printers mean,"In multifunction or all-in-one printers , fax machines , photocopiers and scanners , an automatic document feeder or ADF is a feature which takes several pages and feeds the paper one page at a time into a scanner or copier, allowing the user to scan , and thereby copy , print , or fax , multiple-page documents without having to manually replace each page.","In multifunction or all-in-one printers , fax machines , photocopiers and scanners , an automatic document feeder or ADF is a feature which takes several pages and feeds the paper one page at a time into a scanner or copier, allowing the user to scan , and thereby copy , print , or fax , multiple-page documents without having to manually replace each page"
what does automatic paper feeder on printers mean,"In multifunction or all-in-one printers , fax machines , photocopiers and scanners , an automatic document feeder or ADF is a feature which takes several pages and feeds the paper one page at a time into a scanner or copier, allowing the user to scan , and thereby copy , print , or fax , multiple-page documents without having to manually replace each page.","a feature which takes several pages and feeds the paper one page at a time into a scanner or copier, allowing the user to scan , and thereby copy , print , or fax , multiple-page documents without having to manually replace each page"
what county is san jose in?,"San Jose (; Spanish : St. Joseph ) is the third-largest city in California , the tenth-largest in the U.S., and the county seat of Santa Clara County which is located at the southern end of San Francisco Bay .",Santa Clara County
what county is san jose in?,"San Jose (; Spanish : St. Joseph ) is the third-largest city in California , the tenth-largest in the U.S., and the county seat of Santa Clara County which is located at the southern end of San Francisco Bay .",Santa Clara County
what cars have smart key systems,"It was first developed by Siemens in the mid-1990s and introduced by Mercedes-Benz under the name ""Keyless Go"" in 1998 on the W220 S-Class following its design patent filed by Daimler-Benz on May 17, 1997.",W220 S-Class
what cars have smart key systems,"It was first developed by Siemens in the mid-1990s and introduced by Mercedes-Benz under the name ""Keyless Go"" in 1998 on the W220 S-Class following its design patent filed by Daimler-Benz on May 17, 1997.","It was first developed by Siemens in the mid-1990s and introduced by Mercedes-Benz under the name ""Keyless Go"" in 1998 on the W220 S-Class following its design patent filed by Daimler-Benz on May 17, 1997"
how old a child pedophile crime,"As a medical diagnosis, pedophilia or paedophilia is a psychiatric disorder in persons 16 years of age or older typically characterized by a primary or exclusive sexual interest toward prepubescent children (generally age 11 years or younger, though specific diagnosis criteria for the disorder extends the cut-off point for prepubescence to age 13).",generally age 11 years or younger
how many people were killed in the holocaust,"Over one million Jewish children were killed in the Holocaust, as were approximately two million Jewish women and three million Jewish men.","Over one million Jewish children were killed in the Holocaust, as were approximately two million Jewish women and three million Jewish men"
how many people were killed in the holocaust,"Over one million Jewish children were killed in the Holocaust, as were approximately two million Jewish women and three million Jewish men.","Over one million Jewish children were killed in the Holocaust, as were approximately two million Jewish women and three million Jewish men"
what can silk be used for,"Silk is a natural protein fibre , some forms of which can be woven into textiles .",be woven into textiles
what can silk be used for,"Silk is a natural protein fibre , some forms of which can be woven into textiles .",can be woven into textiles
what channel is letterman on,Late Show with David Letterman is an American late-night talk show hosted by David Letterman on CBS .,CBS
what channel is letterman on,Late Show with David Letterman is an American late-night talk show hosted by David Letterman on CBS .,CBS
what do cyberstalkers do,"Cyberstalking is the use of the Internet or other electronic means to stalk or harass an individual, a group of individuals, or an organization.","the use of the Internet or other electronic means to stalk or harass an individual, a group of individuals, or an organization"
what do cyberstalkers do,"Cyberstalking is the use of the Internet or other electronic means to stalk or harass an individual, a group of individuals, or an organization.","Cyberstalking is the use of the Internet or other electronic means to stalk or harass an individual, a group of individuals, or an organization"
what kind a is tilapia,Tilapia ( ) is the common name for nearly a hundred species of cichlid fish from the tilapiine cichlid tribe .,a hundred species of cichlid fish from the tilapiine cichlid tribe
what kind a is tilapia,Tilapia ( ) is the common name for nearly a hundred species of cichlid fish from the tilapiine cichlid tribe .,Tilapia ( ) is the common name for nearly a hundred species of cichlid fish from the tilapiine cichlid tribe
what freezes faster? hot or cold water?,"The Mpemba effect, named after Tanzanian student Erasto Mpemba , is the assertion that warmer water can freeze faster than colder water.",warmer water
what freezes faster? hot or cold water?,"The Mpemba effect, named after Tanzanian student Erasto Mpemba , is the assertion that warmer water can freeze faster than colder water.","The Mpemba effect, named after Tanzanian student Erasto Mpemba , is the assertion that warmer water can freeze faster than colder water"
how many qfc stores are there,"Quality Food Centers (QFC) is a supermarket chain based in Bellevue, Washington , with 64 stores in the Puget Sound region of Washington state and in the Portland, Oregon metropolitan area.",64
how many qfc stores are there,"Quality Food Centers (QFC) is a supermarket chain based in Bellevue, Washington , with 64 stores in the Puget Sound region of Washington state and in the Portland, Oregon metropolitan area.","64 stores in the Puget Sound region of Washington state and in the Portland, Oregon metropolitan area"
what affects the money supply,"There is strong empirical evidence of a direct relation between money-supply growth and long-term price inflation, at least for rapid increases in the amount of money in the economy.",long-term price inflation
what affects the money supply,"There is strong empirical evidence of a direct relation between money-supply growth and long-term price inflation, at least for rapid increases in the amount of money in the economy.","There is strong empirical evidence of a direct relation between money-supply growth and long-term price inflation, at least for rapid increases in the amount of money in the economy"
how is today special?,Today's Special is a Canadian children's television show produced by Clive VanderBurgh at TVOntario from 1981 to 1987.,Today's Special is a Canadian children's television show produced by Clive VanderBurgh at TVOntario from 1981 to 1987
how is today special?,Today's Special is a Canadian children's television show produced by Clive VanderBurgh at TVOntario from 1981 to 1987.,Today's Special is a Canadian children's television show produced by Clive VanderBurgh at TVOntario from 1981 to 1987
What Causes Brain Freeze,"It is caused by having something cold touch the roof of the mouth ( palate ), and is believed to result from a nerve response causing rapid constriction and swelling of blood vessels or a "" referring "" of pain from the roof of the mouth to the head.","having something cold touch the roof of the mouth ( palate ), and is believed to result from a nerve response causing rapid constriction and swelling of blood vessels or a "" referring "" of pain from the roof of the mouth to the head"
What Causes Brain Freeze,"It is caused by having something cold touch the roof of the mouth ( palate ), and is believed to result from a nerve response causing rapid constriction and swelling of blood vessels or a "" referring "" of pain from the roof of the mouth to the head.","It is caused by having something cold touch the roof of the mouth ( palate ), and is believed to result from a nerve response causing rapid constriction and swelling of blood vessels or a "" referring "" of pain from the roof of the mouth to the head"
what does auld lang syne mean,"The song's Scots title may be translated into English literally as ""old long since"", or more idiomatically, ""long long ago"", ""days gone by"" or ""old times"".","old long since"", or more idiomatically, ""long long ago"", ""days gone by"" or ""old times"""
what does auld lang syne mean,"The song's Scots title may be translated into English literally as ""old long since"", or more idiomatically, ""long long ago"", ""days gone by"" or ""old times"".","The song's Scots title may be translated into English literally as ""old long since"", or more idiomatically, ""long long ago"", ""days gone by"" or ""old times"""
how many times has a player hit for the cycle,"Cycles are uncommon in Major League Baseball (MLB), and have occurred 294 times since the first by Curry Foley in 1882.",294
how many times has a player hit for the cycle,"Cycles are uncommon in Major League Baseball (MLB), and have occurred 294 times since the first by Curry Foley in 1882.",have occurred 294 times since the first by Curry Foley in 1882
how many times has a player hit for the cycle,"The cycle is roughly as common as a no-hitter (279 occurrences in MLB history); it has been called ""one of the rarest"" and ""most difficult feats"" in baseball.",279 occurrences in MLB history
how many episodes of Lost were there,"A total of 121 episodes of Lost were produced, the last of which aired on May 23, 2010.",121
how many episodes of Lost were there,"A total of 121 episodes of Lost were produced, the last of which aired on May 23, 2010.",121 episodes
what does it mean if i'm flat footed?,"Flat feet (also called pes planus or fallen arches) is a formal reference to a medical condition in which the arch of the foot collapses, with the entire sole of the foot coming into complete or near-complete contact with the ground.","a formal reference to a medical condition in which the arch of the foot collapses, with the entire sole of the foot coming into complete or near-complete contact with the ground"
what does it mean if i'm flat footed?,"Flat feet (also called pes planus or fallen arches) is a formal reference to a medical condition in which the arch of the foot collapses, with the entire sole of the foot coming into complete or near-complete contact with the ground.","Flat feet (also called pes planus or fallen arches) is a formal reference to a medical condition in which the arch of the foot collapses, with the entire sole of the foot coming into complete or near-complete contact with the ground"
what age group is generation x,"Demographers, historians and commentators use beginning birth dates from the early 1960s to the early 1980s .",birth dates from the early 1960s to the early 1980s
what age group is generation x,"Demographers, historians and commentators use beginning birth dates from the early 1960s to the early 1980s .","Demographers, historians and commentators use beginning birth dates from the early 1960s to the early 1980s"
what glows in the dark,"Radioluminescence , production of luminescence in a material by the bombardment of ionizing radiation","Radioluminescence , production of luminescence in a material by the bombardment of ionizing radiation"
what glows in the dark,"Radioluminescence , production of luminescence in a material by the bombardment of ionizing radiation","Radioluminescence , production of luminescence in a material by the bombardment of ionizing radiation"
what did sparta do around 650 bc,"Around 650 BC, it rose to become the dominant military land-power in ancient Greece.",dominant military land-power in ancient Greece
what did sparta do around 650 bc,"Around 650 BC, it rose to become the dominant military land-power in ancient Greece.","Around 650 BC, it rose to become the dominant military land-power in ancient Greece"
what fantasy american football means,Fantasy football is an interactive competition in which users compete against each other as general managers of virtual teams.,an interactive competition in which users compete against each other as general managers of virtual teams
what fantasy american football means,Fantasy football is an interactive competition in which users compete against each other as general managers of virtual teams.,Fantasy football is an interactive competition in which users compete against each other as general managers of virtual teams
how many muscles in the body,"There are approximately 642 skeletal muscles within the typical human, and almost every muscle constitutes one part of a pair of identical bilateral muscles, found on both sides, resulting in approximately 320 pairs of muscles, as presented in this article.",642
how many muscles in the body,"There are approximately 642 skeletal muscles within the typical human, and almost every muscle constitutes one part of a pair of identical bilateral muscles, found on both sides, resulting in approximately 320 pairs of muscles, as presented in this article.",approximately 642 skeletal muscles
how many muscles in the body,Examples range from 640 to 850.,range from 640 to 850
how many muscles in the body,Examples range from 640 to 850.,from 640 to 850
how much does a gold bar weigh,The standard gold bar held as gold reserves by central banks and traded among bullion dealers is the 400-troy-ounce (12.4 kg or 438.9 ounces) Good Delivery gold bar.,400-troy-ounce (12.4 kg or 438.9 ounces)
how much does a gold bar weigh,The standard gold bar held as gold reserves by central banks and traded among bullion dealers is the 400-troy-ounce (12.4 kg or 438.9 ounces) Good Delivery gold bar.,the 400-troy-ounce (12.4 kg or 438.9 ounces) Good
how much does a gold bar weigh,"The kilobar, which is to say 1000 grams in mass, is the bar that is more manageable and is used extensively for trading and investment.",1000 grams
how much does a gold bar weigh,"The kilobar, which is to say 1000 grams in mass, is the bar that is more manageable and is used extensively for trading and investment.","The kilobar, which is to say 1000 grams in mass, is the bar that is more manageable and is used extensively for trading and investment"
how many kids does archie manning have,"He is the father of current Denver Broncos quarterback Peyton Manning , current New York Giants starting quarterback Eli Manning , and former Ole Miss receiver Cooper Manning .","Peyton Manning , current New York Giants starting quarterback Eli Manning , and former Ole Miss receiver Cooper Manning"
how many kids does archie manning have,"He is the father of current Denver Broncos quarterback Peyton Manning , current New York Giants starting quarterback Eli Manning , and former Ole Miss receiver Cooper Manning .","He is the father of current Denver Broncos quarterback Peyton Manning , current New York Giants starting quarterback Eli Manning , and former Ole Miss receiver Cooper Manning"
what does an advocacy website promote?,"Advocacy is a political process by an individual or group which aims to influence public-policy and resource allocation decisions within political, economic, and social systems and institutions.","public-policy and resource allocation decisions within political, economic, and social systems and institutions"
what does an advocacy website promote?,"Advocacy is a political process by an individual or group which aims to influence public-policy and resource allocation decisions within political, economic, and social systems and institutions.","Advocacy is a political process by an individual or group which aims to influence public-policy and resource allocation decisions within political, economic, and social systems and institutions"
what does the green mean on the mexican flag,"Red, white, and green are the colors of the national liberation army in Mexico.","Red, white, and green are the colors of the national liberation army in Mexico"
what does the green mean on the mexican flag,"Red, white, and green are the colors of the national liberation army in Mexico.","Red, white, and green are the colors of the national liberation army in Mexico"
how often do elk have sex,"Males also engage in ritualized mating behaviors during the rut , including posturing, antler wrestling (sparring), and bugling, a loud series of vocalizations which establishes dominance over other males and attracts females.","Males also engage in ritualized mating behaviors during the rut , including posturing, antler wrestling (sparring), and bugling, a loud series of vocalizations which establishes dominance over other males and attracts females"
what city is george washington university,"The George Washington University (GW, GWU, or George Washington) is a comprehensive private , coeducational research university located in Washington, D.C. .","Washington, D.C."
what city is george washington university,"The George Washington University (GW, GWU, or George Washington) is a comprehensive private , coeducational research university located in Washington, D.C. .","Washington, D.C."
what does the temporal lobe part of the brain do,"The temporal lobes are involved in the retention of visual memories , processing sensory input, comprehending language , storing new memories, emotion, and deriving meaning.","retention of visual memories , processing sensory input, comprehending language , storing new memories, emotion, and deriving meaning"
what does the temporal lobe part of the brain do,"The temporal lobes are involved in the retention of visual memories , processing sensory input, comprehending language , storing new memories, emotion, and deriving meaning.","involved in the retention of visual memories , processing sensory input, comprehending language , storing new memories, emotion, and deriving meaning"
how many lungs does a human have,"Humans have two lungs , a right lung and a left lung.",two
how many lungs does a human have,"Humans have two lungs , a right lung and a left lung.",two
What a Margarita contains,"The margarita is a Mexican cocktail consisting of tequila mixed with Cointreau or similar orange -flavoured liqueur and lime or lemon juice , often served with salt on the glass rim.","tequila mixed with Cointreau or similar orange -flavoured liqueur and lime or lemon juice , often served with salt on the glass rim"
What a Margarita contains,"The margarita is a Mexican cocktail consisting of tequila mixed with Cointreau or similar orange -flavoured liqueur and lime or lemon juice , often served with salt on the glass rim.",consisting of tequila mixed with Cointreau or similar orange -flavoured liqueur and lime or lemon juice
what color is burgundy,"Burgundy is a dark red color associated with the Burgundy wine of the same name, which in turn is named after the Burgundy region of France .",dark red
what color is burgundy,"Burgundy is a dark red color associated with the Burgundy wine of the same name, which in turn is named after the Burgundy region of France .",dark red color
what color is burgundy,The color burgundy is similar to other shades of dark red such as maroon .,dark red
what color is burgundy,The color burgundy is similar to other shades of dark red such as maroon .,The color burgundy is similar to other shades of dark red such as maroon
what is the population of center tx,"The population was 5,193 at the 2010 census.","5,193"
what is the population of center tx,"The population was 5,193 at the 2010 census.","5,193 at the 2010 census"
what causes photo red eye,"It occurs when using a photographic flash very close to the camera lens (as with most compact cameras ), in ambient low light.","It occurs when using a photographic flash very close to the camera lens (as with most compact cameras ), in ambient low light"
what causes photo red eye,"It occurs when using a photographic flash very close to the camera lens (as with most compact cameras ), in ambient low light.","It occurs when using a photographic flash very close to the camera lens (as with most compact cameras ), in ambient low light"
how many students go to santa barbara,"The campus is the 6th-largest in the UC system by enrollment with 18,977 undergraduate and 2,950 graduate students.","18,977 undergraduate and 2,950 graduate students"
how many students go to santa barbara,"The campus is the 6th-largest in the UC system by enrollment with 18,977 undergraduate and 2,950 graduate students.","18,977 undergraduate and 2,950 graduate students"
what day is the feast of st joseph's?,"Saint Joseph's Day, March 19, the Feast of St. Joseph is in Western Christianity the principal feast day of Saint Joseph , Spouse of the Blessed Virgin Mary .",March 19
what day is the feast of st joseph's?,"Saint Joseph's Day, March 19, the Feast of St. Joseph is in Western Christianity the principal feast day of Saint Joseph , Spouse of the Blessed Virgin Mary .",March 19
what culture is mariah carey,"Mariah Carey (born March 27, 1970) is an American singer , songwriter , record producer , actress , and philanthropist .","American singer , songwriter , record producer , actress , and philanthropist"
what culture is mariah carey,"Mariah Carey (born March 27, 1970) is an American singer , songwriter , record producer , actress , and philanthropist .",American
how was color introduced in film?,The first color cinematography was by means of additive color systems such as the one patented in England by Edward Raymond Turner in 1899 and tested in 1902.,by means of additive color systems
how was color introduced in film?,The first color cinematography was by means of additive color systems such as the one patented in England by Edward Raymond Turner in 1899 and tested in 1902.,The first color cinematography was by means of additive color systems such as the one patented in England by Edward Raymond Turner in 1899 and tested in 1902
how was color introduced in film?,A simplified additive system was developed by George Albert Smith and successfully commercialized in 1909 as Kinemacolor .,A simplified additive system was developed by George Albert Smith and successfully commercialized in 1909 as Kinemacolor
what artist have song with ashanti?,"Ashanti wrote and sang background on Jennifer Lopez 's "" Ain't It Funny (Murder Remix) "", which reached number one on Billboard Hot 100, which was also in the top 10 chart at the same time as ""Foolish"", ""Always on Time"" (with Ja Rule ), and ""What's Luv"" (with Fat Joe ).",Jennifer Lopez
what artist have song with ashanti?,"Ashanti wrote and sang background on Jennifer Lopez 's "" Ain't It Funny (Murder Remix) "", which reached number one on Billboard Hot 100, which was also in the top 10 chart at the same time as ""Foolish"", ""Always on Time"" (with Ja Rule ), and ""What's Luv"" (with Fat Joe ).","Ashanti wrote and sang background on Jennifer Lopez 's "" Ain't It Funny (Murder Remix) "", which reached number one on Billboard Hot 100, which was also in the top 10 chart at the same time as ""Foolish"", ""Always on Time"" (with Ja Rule ), and ""What's Luv"" (with Fat Joe )"
what came first army or air force,"The AAF was a component of the United States Army , which in 1942 was divided functionally by executive order into three autonomous forces: the Army Ground Forces , the Services of Supply (which in 1943 became the Army Service Forces ), and the AAF.",The AAF was a component of the United States Army
what came first army or air force,"The AAF was a component of the United States Army , which in 1942 was divided functionally by executive order into three autonomous forces: the Army Ground Forces , the Services of Supply (which in 1943 became the Army Service Forces ), and the AAF.",The AAF was a component of the United States Army
what does the FOIA apply to,The Freedom of Information Act (FOIA) is a federal freedom of information law that allows for the full or partial disclosure of previously unreleased information and documents controlled by the United States government .,a federal freedom of information law that allows for the full or partial disclosure of previously unreleased information and documents controlled by the United States government
what does the FOIA apply to,The Freedom of Information Act (FOIA) is a federal freedom of information law that allows for the full or partial disclosure of previously unreleased information and documents controlled by the United States government .,allows for the full or partial disclosure of previously unreleased information and documents controlled by the United States government
how many countries are member of the eu?,The European Union (EU) is an economic and political union of 27 member states that are located primarily in Europe .,27
how many countries are member of the eu?,The European Union (EU) is an economic and political union of 27 member states that are located primarily in Europe .,27 member states
how many vehicles are registered in the us,"Overall, there were an estimated 254.4 million registered passenger vehicles in the United States according to a 2007 DOT study.",254.4 million
how many vehicles are registered in the us,"Overall, there were an estimated 254.4 million registered passenger vehicles in the United States according to a 2007 DOT study.",an estimated 254.4 million
what does xylem transport,"Its basic function is to transport water, but it also transports some nutrients through the plant.",water
what does xylem transport,"Its basic function is to transport water, but it also transports some nutrients through the plant.","transport water, but it also transports some nutrients through the plant"
